194,185,185,185,185,185,185,185,185,185,185,185,185,193
186,178,178,178,178,178,178,178,178,178,178,178,178,188
186,178,178,178,178,178,178,178,178,178,178,178,178,188
186,177,177,177,177,177,177,177,177,177,177,177,177,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
186,176,176,176,176,176,176,176,176,176,176,176,176,188
195,187,187,187,187,187,187,187,187,187,187,187,187,196
